Voter,1,2,3,4,5,6,7,8,9,10,11,12,13,14,Group,Candidate in Head
Voter_1,J,A,L,B,F,K,N,C,G,I,D,H,E,M,Unique Preferences,Unique
Voter_2,F,I,G,H,E,M,K,D,J,B,L,C,A,N,Unique Preferences,Unique
Voter_3,H,F,J,L,N,B,K,G,E,D,I,C,A,M,Unique Preferences,Unique
Voter_4,E,B,L,C,G,D,F,N,A,K,I,M,H,J,Unique Preferences,Common
Voter_5,I,J,G,C,N,M,B,A,F,K,H,E,L,D,Unique Preferences,Unique
Voter_6,N,B,J,G,F,C,L,D,A,K,H,I,E,M,Unique Preferences,Common
Voter_7,A,N,J,B,M,C,I,K,F,E,H,D,L,G,Unique Preferences,Unique
Voter_8,E,N,K,C,L,I,F,B,M,D,G,J,A,H,Unique Preferences,Common
Voter_9,L,I,D,H,G,B,C,F,M,J,K,E,N,A,Unique Preferences,Unique
Voter_10,M,I,F,E,C,J,L,G,A,K,B,H,D,N,Unique Preferences,Unique
Voter_11,B,N,F,D,L,K,I,G,A,E,C,M,J,H,Unique Preferences,Unique
Voter_12,N,D,G,L,C,M,J,B,K,I,H,E,F,A,Unique Preferences,Common
Voter_13,D,E,C,H,I,L,K,N,J,M,F,G,B,A,Unique Preferences,Unique
Voter_14,C,J,N,M,A,E,D,I,K,F,L,G,B,H,Unique Preferences,Unique
Voter_15,M,G,N,H,B,E,D,L,K,J,C,I,A,F,Standard Preferences,N/A
Voter_16,N,E,B,C,G,D,M,F,I,L,K,A,J,H,Standard Preferences,N/A
Voter_17,I,A,F,L,M,E,N,K,C,B,D,G,H,J,Standard Preferences,N/A
Voter_18,I,A,F,L,M,E,N,K,C,B,D,G,H,J,Standard Preferences,N/A
Voter_19,I,A,F,L,M,E,N,K,C,B,D,G,H,J,Standard Preferences,N/A
Voter_20,M,G,N,H,B,E,D,L,K,J,C,I,A,F,Standard Preferences,N/A
Voter_21,N,E,B,C,G,D,M,F,I,L,K,A,J,H,Standard Preferences,N/A
Voter_22,N,E,B,C,G,D,M,F,I,L,K,A,J,H,Standard Preferences,N/A
Voter_23,K,H,G,D,F,E,M,B,C,A,N,J,L,I,Standard Preferences,N/A
Voter_24,K,H,G,D,F,E,M,B,C,A,N,J,L,I,Standard Preferences,N/A
Voter_25,N,E,B,C,G,D,M,F,I,L,K,A,J,H,Standard Preferences,N/A
Voter_26,I,A,F,L,M,E,N,K,C,B,D,G,H,J,Standard Preferences,N/A
Voter_27,K,H,G,D,F,E,M,B,C,A,N,J,L,I,Standard Preferences,N/A
Voter_28,K,H,G,D,F,E,M,B,C,A,N,J,L,I,Standard Preferences,N/A
Voter_29,A,J,G,E,N,M,H,K,B,F,D,L,I,C,Standard Preferences,N/A
Voter_30,I,A,F,L,M,E,N,K,C,B,D,G,H,J,Standard Preferences,N/A
Voter_31,A,J,G,E,N,M,H,K,B,F,D,L,I,C,Standard Preferences,N/A
Voter_32,I,A,F,L,M,E,N,K,C,B,D,G,H,J,Standard Preferences,N/A
Voter_33,N,E,B,C,G,D,M,F,I,L,K,A,J,H,Standard Preferences,N/A
Voter_34,K,H,G,D,F,E,M,B,C,A,N,J,L,I,Standard Preferences,N/A
Voter_35,N,E,B,C,G,D,M,F,I,L,K,A,J,H,Standard Preferences,N/A
Voter_36,A,J,G,E,N,M,H,K,B,F,D,L,I,C,Standard Preferences,N/A
Voter_37,A,J,G,E,N,M,H,K,B,F,D,L,I,C,Standard Preferences,N/A
Voter_38,M,G,N,H,B,E,D,L,K,J,C,I,A,F,Standard Preferences,N/A
Voter_39,I,A,F,L,M,E,N,K,C,B,D,G,H,J,Standard Preferences,N/A
Voter_40,A,J,G,E,N,M,H,K,B,F,D,L,I,C,Standard Preferences,N/A
Voter_41,K,H,G,D,F,E,M,B,C,A,N,J,L,I,Standard Preferences,N/A
Voter_42,A,J,G,E,N,M,H,K,B,F,D,L,I,C,Standard Preferences,N/A
Voter_43,N,E,B,C,G,D,M,F,I,L,K,A,J,H,Standard Preferences,N/A
Voter_44,I,A,F,L,M,E,N,K,C,B,D,G,H,J,Standard Preferences,N/A
Voter_45,K,H,G,D,F,E,M,B,C,A,N,J,L,I,Standard Preferences,N/A
Voter_46,I,A,F,L,M,E,N,K,C,B,D,G,H,J,Standard Preferences,N/A
Voter_47,A,J,G,E,N,M,H,K,B,F,D,L,I,C,Standard Preferences,N/A
Voter_48,I,A,F,L,M,E,N,K,C,B,D,G,H,J,Standard Preferences,N/A
Voter_49,N,E,B,C,G,D,M,F,I,L,K,A,J,H,Standard Preferences,N/A
Voter_50,I,A,F,L,M,E,N,K,C,B,D,G,H,J,Standard Preferences,N/A
Voter_51,I,A,F,L,M,E,N,K,C,B,D,G,H,J,Standard Preferences,N/A
Voter_52,N,E,B,C,G,D,M,F,I,L,K,A,J,H,Standard Preferences,N/A
Voter_53,M,G,N,H,B,E,D,L,K,J,C,I,A,F,Standard Preferences,N/A
Voter_54,A,J,G,E,N,M,H,K,B,F,D,L,I,C,Standard Preferences,N/A
Voter_55,K,H,G,D,F,E,M,B,C,A,N,J,L,I,Standard Preferences,N/A
Voter_56,I,A,F,L,M,E,N,K,C,B,D,G,H,J,Standard Preferences,N/A
Voter_57,I,A,F,L,M,E,N,K,C,B,D,G,H,J,Standard Preferences,N/A
Voter_58,M,G,N,H,B,E,D,L,K,J,C,I,A,F,Standard Preferences,N/A
Voter_59,M,G,N,H,B,E,D,L,K,J,C,I,A,F,Standard Preferences,N/A
Voter_60,A,J,G,E,N,M,H,K,B,F,D,L,I,C,Standard Preferences,N/A
Voter_61,A,J,G,E,N,M,H,K,B,F,D,L,I,C,Standard Preferences,N/A
Voter_62,M,G,N,H,B,E,D,L,K,J,C,I,A,F,Standard Preferences,N/A
Voter_63,M,G,N,H,B,E,D,L,K,J,C,I,A,F,Standard Preferences,N/A
Voter_64,K,H,G,D,F,E,M,B,C,A,N,J,L,I,Standard Preferences,N/A
Voter_65,K,H,G,D,F,E,M,B,C,A,N,J,L,I,Standard Preferences,N/A
Voter_66,A,J,G,E,N,M,H,K,B,F,D,L,I,C,Standard Preferences,N/A
Voter_67,N,E,B,C,G,D,M,F,I,L,K,A,J,H,Standard Preferences,N/A
Voter_68,N,E,B,C,G,D,M,F,I,L,K,A,J,H,Standard Preferences,N/A
Voter_69,K,H,G,D,F,E,M,B,C,A,N,J,L,I,Standard Preferences,N/A
Voter_70,M,G,N,H,B,E,D,L,K,J,C,I,A,F,Standard Preferences,N/A
